restaurant_name,image_url,rating,cuisine,location,delivery_time
Swiss Cream - Ice Creams And More,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/5db28ee7aed5c06a08111207a24c6a2c",4.3,"Desserts, Ice Cream, Beverages, Waffle",Shanti Nagar,30-35 mins
Murugan Cafe,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/b8672fe52944c3599ea324d99d608300",4.6,South Indian,Basavanagudi,25-30 mins
Sri Vishnu Grand,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/rctrmtzcgye6h6608g1d",4.3,"South Indian, North Indian, Chinese",Majestic,25-30 mins
Roti Ghar,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/xbcgb6nyr74qjekpuulh",4.4,"Chinese, South Indian, North Indian, Desserts, Beverages, Mughlai",Basavanagudi,20-25 mins
Shravan Specials by Lunchbox,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/thlkrttaciooe5a8umud",4.3,"Biryani, Desserts, Beverages",Jayanagar,25-30 mins
Pastas By Pizza Hut,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/dce75bf0d124fb1fa390597828d8ffd9",3.9,Pastas,Basavanagudi,25-30 mins
NOTO - Ice Creams & Desserts,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/7/22/ca180a47-6ef1-4939-8eba-e24a4b85a500_582902.JPG",4.5,"Ice Cream, Desserts",Jayanagar,30-35 mins
Sandwich Guru,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/6dd29731d292d456bd252368b6ab8bc2",4.3,"Beverages, Fast Food, Snacks, Juices, Burgers",Wilson Garden,25-30 mins
Andhra Ruchulu,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/9bbdd8221675a282f44be98bb883dc3c",4.5,"Andhra, Chinese, North Indian",Basavanagudi,20-25 mins
Sreeraj Lassi Bar 1973S,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/b2d97facadf6b5a4e4f97e0124269768",4.5,"Desserts, Juices, Ice Cream Cakes, Snacks",Shantinagar,25-30 mins
IDC Kitchen,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/noqz2zls3plydvugvgoy",4.6,South Indian,Malleshwaram,25-30 mins
Imperial Restaurant Since 1954,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/bc2f7e70b995b4095617b21adcde553b",4.3,"Chinese, South Indian, Tandoor, Kerala, Beverages",Mysore Road,30-35 mins
Paris Panini - Gourmet Sandwiches & Wraps,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/33101e2fff3a071cbd8b85e73c0d4f45",4.6,"Continental, Pastas, Salads, Snacks, Desserts, Fast Food, French",Central Bangalore,35-40 mins
Sangam Sweets,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/bti5cqzjlftzrw0uml1k",4.5,"North Indian, Desserts",Majestic,30-35 mins
Sri Venkateshwara Sweet Meat Stall,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/535c3774b0ca12c4dba76c769945d95d",4.5,"Snacks, Sweets",Basavanagudi,15-20 mins
The Krishna Grand,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/hcmn8tuzhikoilgzrvzn",4.6,Asian,Jayanagar,30-35 mins
Anna Kuteera,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/g6baplf1ra0wogbhqwh3",4.5,"South Indian, Chinese, Juices",Banashankari,30-35 mins
Asha Food Camp,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/xt6whemh92b8qojnmeh0",4.6,Indian,Rajajinagar,30-35 mins
Chikpet Donne Biryani House - Vijayanagar,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/cpbq1uck4icuhdqvuwb0",4.4,"Biryani, South Indian",Vijayanagar,35-40 mins
Rajathadri Food Fort,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/jx1rhiahy7dzczsbf9jz",4.5,"South Indian, North Indian, Chinese, Desserts",Jayanagar,30-35 mins
Protein Chef,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/5/4/0bb8f4a8-9860-41a3-8228-73c116c6f262_878303.jpg",4.4,"Continental, Healthy Food, North Indian, Biryani",AUSTIN TOWN,20-25 mins
India Sweet House,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/2e0aea37d70a92764089d2b831583052",4.4,"Sweets, Street Food, Chaat",Chamarajapete,25-30 mins
South Kitchen,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/hxiuptyahylgra59hxln",4.6,South Indian,Basavanagudi,20-25 mins
Fish Land,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/nqs3c4qr93k8j0uq4gk3",4.3,"Seafood, North Indian, Chinese",Majestic,25-30 mins
Cream Stone Ice Cream,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/8/11/4ac09047-1a2e-4fa5-a5dc-c5d1899f508d_875739.jpg",4.7,Ice Cream,VIJAYNAGAR,30-35 mins
MEGHANA BIRYANI,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/4/19/82744045-c347-4bb8-8632-066be60e8d3f_873086.jpg",3.3,"Biryani, South Indian, Tandoor, Kebabs, Chinese, Fast Food",Vijayanagar,30-35 mins
SRI VISHNU PARK,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/026ff739178ac6c8844046156308f529",4.4,"South Indian, North Indian, Chinese",Basavanagudi,30-35 mins
Faasos Signature Wraps & Rolls,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/c583ca6ce40b426797a78ae2ac91f2ec",4.0,"Fast Food, Snacks, Desserts, Beverages",Jayanagar,25-30 mins
Kritunga,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/5/29/c34c00e2-dd12-4f69-b7c0-ff1b42281206_900680.jpg",3.7,South Indian,Malleshwaram,35-40 mins
Desi Masala,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/56431802f0105f7f1ef9638a8c330948",4.3,Indian,Malleshwaram,30-35 mins
Asha Sweet Center - Since 1951,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/egm3aym4fa73hst2tv9b",4.6,"Sweets, Snacks, Fast Food, Bakery, Beverages",Basavanagudi,15-20 mins
Sri Udupi Food Hub,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ce50bf23b8dde777f72a753c1d8775e8",4.3,"South Indian, North Indian, Indian, Chinese, Chaat, Ice Cream, Desserts, Beverages",Gandhi Nagar,25-30 mins
Chicken County Restaurant,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/5d45edff4df225bc51335d91fc9d12e7",4.5,"Chinese, Tandoor, Grill, Biryani, Kebabs, Ice Cream, Juices, South Indian","K G CIRCLE, MAJESTIC",25-30 mins
Hari Super Sandwich,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/gwc7kpognjjl6jcmapnr",4.3,Fast Food,Basavanagudi,20-25 mins
Basaveshwara Khanavali,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/oowdmtbvblqhkflrqavd",4.5,South Indian,Majestic,25-30 mins
Curry Leaves,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/p72fphcly0qqklusxlkc",4.3,"Coastal, Andhra, Chinese, Indian",Basavanagudi,30-35 mins
Utsav Restaurant,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/omjftr7ugjeslvbqiils",4.3,"Chinese, North Indian, Punjabi",Basavanagudi,25-30 mins
Udupi Grand,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/fgzuuzu3hytptlbkhl7q",4.4,"Chinese, North Indian, South Indian",Basavanagudi,20-25 mins
BOX8 - Desi Meals,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/7/22/ef60aaba-1d7d-46f9-939b-c00a055d0481_425570.jpg",4.4,"North Indian, Biryani, Thalis, Home Food",Mysore Road,15-25 mins
California Burrito,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/dgaistubp3t7pd2r2cff",4.6,"Mexican, American, Salads, Continental, Keto, Healthy Food, Beverages, Snacks, Desserts, Fast Food",Gandhi Bazaar,15-20 mins
Krishna Vaibhava,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/dpnjzshuy4ots4hjil3t",4.5,"Indian, Chinese",Vijayanagar,30-35 mins
Sri Nayvedya Veg,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/hljbvcwexdml5cllguis",4.6,South Indian,Jayanagar,30-35 mins
Luckhnow Street,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/bzgmtshz0tgqxppwqsfl",4.2,"Kebabs, Biryani, Awadhi",Ashok Nagar,30-35 mins
Abubakar Siddiq Hotel,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/kfyswzc4sstbgdeivkii",4.5,"Indian, Chinese",Malleswaram,35-40 mins
Kim Lee Restaurant,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/nznjpjxlepmwtgt2dr5r",4.6,Chinese,Rajajinagar,30-35 mins
